编码,日期,销量
1001,20150501,6.514860263
1001,20150502,4.827255193
1001,20150503,7.498002072
1001,20150504,7.02928367
1001,20150505,7.868802296
1001,20150506,16.9216833
1001,20150507,6.064023174
1001,20150508,5.959877908
1001,20150509,4.762087191
1001,20150510,7.487597458
1001,20150511,7.025001842
1001,20150512,7.865205022
1001,20150513,16.91816256
1001,20150514,6.060510993
1001,20150515,5.956366684
1001,20150516,4.758576074
1001,20150517,7.484086353
1001,20150518,7.021490738
1001,20150519,7.861693919
1001,20150520,16.91465146
1001,20150521,6.05699989
1001,20150522,5.952855581
1001,20150523,4.755064971
1001,20150524,7.480575249
1001,20150525,7.017979635
1001,20150526,7.858182815
1001,20150527,16.91114035
1001,20150528,6.053488786
1001,20150529,5.949344477
1001,20150530,4.751553867
1002,20150501,0.364330027
1002,20150502,0.203579962
1002,20150503,0.617258627
1002,20150504,0.32334454
1002,20150505,0.264567213
1002,20150506,0.617544648
1002,20150507,0.147022828
1002,20150508,0.389489389
1002,20150509,0.213910627
1002,20150510,0.625784893
1002,20150511,0.331651242
1002,20150512,0.272847198
1002,20150513,0.625821382
1002,20150514,0.155299166
1002,20150515,0.397765679
1002,20150516,0.222186911
1002,20150517,0.634061176
1002,20150518,0.339927525
1002,20150519,0.281123481
1002,20150520,0.634097665
1002,20150521,0.163575449
1002,20150522,0.406041962
1002,20150523,0.230463195
1002,20150524,0.64233746
1002,20150525,0.348203808
1002,20150526,0.289399764
1002,20150527,0.642373948
1002,20150528,0.171851733
1002,20150529,0.414318246
1002,20150530,0.238739478
1004,20150501,1.848740635
1004,20150502,1.50001273
1004,20150503,1.895542682
1004,20150504,2.114378539
1004,20150505,2.109308343
1004,20150506,4.042254578
1004,20150507,2.066160012
1004,20150508,1.446613248
1004,20150509,1.427221742
1004,20150510,1.893562931
1004,20150511,2.127624046
1004,20150512,2.12582746
1004,20150513,4.05947756
1004,20150514,2.083534334
1004,20150515,1.464020109
1004,20150516,1.444635601
1004,20150517,1.910978294
1004,20150518,2.145039732
1004,20150519,2.143243216
1004,20150520,4.076893331
1004,20150521,2.100950108
1004,20150522,1.481435883
1004,20150523,1.462051375
1004,20150524,1.928394068
1004,20150525,2.162455506
1004,20150526,2.16065899
1004,20150527,4.094309105
1004,20150528,2.118365882
1004,20150529,1.498851658
1004,20150530,1.479467149
1005,20150501,0.133238595
1005,20150502,0
1005,20150503,0.122057096
1005,20150504,0.024549758
1005,20150505,0.161610075
1005,20150506,0.473263919
1005,20150507,0
1005,20150508,0.111422653
1005,20150509,0
1005,20150510,0.097557116
1005,20150511,4.73E-05
1005,20150512,0.137107652
1005,20150513,0.448761494
1005,20150514,0
1005,20150515,0.086920228
1005,20150516,0
1005,20150517,0.073054691
1005,20150518,0
1005,20150519,0.112605226
1005,20150520,0.424259069
1005,20150521,0
1005,20150522,0.062417803
1005,20150523,0
1005,20150524,0.048552265
1005,20150525,0
1005,20150526,0.088102801
1005,20150527,0.399756643
1005,20150528,0
1005,20150529,0.037915378
1005,20150530,0
1099,20150501,0.0126183
1099,20150502,0.0126183
1099,20150503,0.0170259
1099,20150504,0.0170259
1099,20150505,0.0126183
1099,20150506,0.0126183
1099,20150507,0.0126183
1099,20150508,0.0179058
1099,20150509,0.0126183
1099,20150510,0.0170259
1099,20150511,0.0170259
1099,20150512,0.11633
1099,20150513,0.141042
1099,20150514,0.03604
1099,20150515,0.289291
1099,20150516,0.280107
1099,20150517,0.0142222
1099,20150518,0.0142222
1099,20150519,0.00981462
1099,20150520,0.0176185
1099,20150521,0.812415
1099,20150522,0.791752
1099,20150523,0.0566418
1099,20150524,0.0150845
